№,"item_name","ingredient_name","dosage_and_unit","pharmaceutical_form","packaging","packaging_qty","company","wholesale_price","sale_price","submitted_at"
1,"1, 2, 3 TİPLİ PERORAL POLİOMİYELİT VAKSİNİ",VACCINE (POLIOMYELITIS (OPV)),"0,2 ml/doza",Məhlul,Flakon 2 ml,10,"ÇUMAKOV ADINA POLİOMİYELİT VƏ VİRUSLU ENSEFALİT İNSTİTUTUNUN MÜƏSSİSƏSİ, Rusiya",27.32,32.78,29.11.2016
2,5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 5 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",3.88,4.66,29.11.2016
3,5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 5 ml,5,"EBEVE FARMA GMBH NFG KG, Avstriya",17.07,20.48,29.11.2016
4,5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 10 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",6.41,7.69,06.10.2018
5,5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 10 ml,5,"EBEVE FARMA GMBH NFG KG, Avstriya",22.76,27.31,29.11.2016
6,5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 20 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",9.08,10.90,29.11.2016
7,5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 100 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",43.05,51.66,29.11.2016
8,5-NOK,NITROXOLINE,50 mq,Flakon,Blister,50,"LEK FARMASYUTİKALS DD, Sloveniya",4.34,5.21,29.11.2016
9,ABAKTAL,PEFLOXACIN,400 mq,Tablet,Blister,10,"LEK DD, Sloveniya",5.18,6.22,29.11.2016
10,ABİTRAKS,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"LABORATORİO FARMASYUTİKO CT SRL, İtaliya",4.59,5.51,29.11.2016
11,ABİZOL,ARIPIPRAZOLE,5 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",30.70,36.84,18.05.2018
12,ABİZOL,ARIPIPRAZOLE,10 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",67.36,80.83,29.11.2016
13,ABİZOL,ARIPIPRAZOLE,15 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",35.90,43.08,18.05.2018
14,ABİZOL,ARIPIPRAZOLE,30 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",132.21,154.12,29.11.2016
15,ABROLEN,AMBROXOL HCL,6 mq/ml,Şərbət,Flakon 125 ml,1,"SPESİFAR SA, Yunanıstan",4.39,5.27,29.11.2016
16,AD VİTAMİNİ,RETINOL ACETATE + ERGOCALCIFEROL,(22522 + 5000) IU/ml,Damcı,Flakon 10 ml,1,"HEMOFARM AD, Serbiya",2.40,2.88,24.05.2017
17,ADALZİT GEL,ADAPALENE + BENZOYL PEROXIDE,"(1 + 33,3) mq/q",Gel,Tub 15 q,1,"DONGKOO BİOPHARMA KO LTD, Cənubi Koreya",16.57,19.88,06.10.2018
18,ADAPTOL,MEBICAR,300 mq,Kapsul,Blister,20,"OLAYNFARM SC, Latviya",8.28,9.94,29.11.2016
19,ADAPTOL,MEBICAR,300 mq,Kapsul,Blister,30,"OLAYNFARM SC, Latviya",12.42,14.90,29.11.2016
20,ADAPTOL,MEBICAR,300 mq,Kapsul,Blister,40,"OLAYNFARM SC, Latviya",16.56,19.87,29.11.2016
21,ADAPTOL,MEBICAR,300 mq,Tablet,Blister,20,"OLAYNFARM SC, Latviya",7.81,9.37,29.11.2016
22,ADAPTOL,MEBICAR,500 mq,Tablet,Blister,20,"OLAYNFARM SC, Latviya",11.29,13.55,06.10.2018
23,ADEKVAN,ZOPICLONE,"7,5 mq",Tablet,Blister,10,"SİNTON BV, İspaniya",3.27,3.92,29.11.2016
24,ADEKVAN,ZOPICLONE,"7,5 mq",Tablet,Blister,20,"SİNTON BV, İspaniya",5.58,6.70,29.11.2016
25,ADELFAN-ESİDREKS,RESERPINE + DIHYDRALAZINE + HYDROCHLOROTHIAZIDE,"(0,1 + 10 + 10) mq",Tablet,Blister,250,"SANDOZ PVT LTD / PİRAMAL HELSKEA LTD, Hindistan",30.99,37.19,29.11.2016
26,ADEMTA,ADEMETIONINE,400 mq,Tablet,Blister,20,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",33.93,40.72,29.11.2016
27,ADEMTA,ADEMETIONINE,80 mq/ml,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 5 ml,5,"MEFAR İLAÇ SAN AŞ, Türkiyə",41.58,49.90,18.05.2018
28,ADENOPLEKS,COCARBOXYLASE + PYRIDOXINE + CYANOCOBALAMIN + LIDOCAINE,"(38,3 + 300 + 0,5 + 10)
mq",İnyeksiya məhlulu üçün liofilizat,Ampul + Ampulda həlledici 2 ml,5,"BİOLOGİÇİ İTALİYA LABORATORİES SRL, İtaliya",23.17,27.80,31.07.2018
29,ADENOPROSİN,ADENOPROSIN,250 mq,Şam,Blister,10,"FARMAPRİM MMC, Moldova",15.90,19.08,17.11.2018
30,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,14,"MENARİNİ VON HEYDEN GMBH, Almaniya",26.28,31.54,29.11.2016
31,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,14,"PATEON FRANSA, Fransa",26.28,31.54,29.11.2016
32,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,28,"MENARİNİ VON HEYDEN GMBH, Almaniya",51.54,61.85,29.11.2016
33,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,28,"PATEON FRANSA, Fransa",51.54,61.85,29.11.2016
34,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,42,"MENARİNİ VON HEYDEN GMBH, Almaniya",76.28,90.94,29.11.2016
35,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,42,"PATEON FRANSA, Fransa",76.28,90.94,29.11.2016
36,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,56,"MENARİNİ VON HEYDEN GMBH, Almaniya",100.14,117.90,29.11.2016
37,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,56,"PATEON FRANSA, Fransa",100.14,117.90,29.11.2016
38,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,84,"MENARİNİ VON HEYDEN GMBH, Almaniya",147.23,170.79,29.11.2016
39,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,84,"PATEON FRANSA, Fransa",147.23,170.79,29.11.2016
40,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,98,"MENARİNİ VON HEYDEN GMBH, Almaniya",170.22,196.31,29.11.2016
41,ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,98,"PATEON FRANSA, Fransa",170.22,196.31,29.11.2016
42,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,14,"MENARİNİ VON HEYDEN GMBH, Almaniya",26.28,31.54,29.11.2016
43,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,14,"PATEON FRANSA, Fransa",26.28,31.54,29.11.2016
44,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,28,"MENARİNİ VON HEYDEN GMBH, Almaniya",51.54,61.85,29.11.2016
45,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,28,"PATEON FRANSA, Fransa",51.54,61.85,29.11.2016
46,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,42,"MENARİNİ VON HEYDEN GMBH, Almaniya",76.28,90.94,29.11.2016
47,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,42,"PATEON FRANSA, Fransa",76.28,90.94,29.11.2016
48,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,56,"MENARİNİ VON HEYDEN GMBH, Almaniya",100.14,117.90,29.11.2016
49,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,56,"PATEON FRANSA, Fransa",100.14,117.90,29.11.2016
50,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,84,"MENARİNİ VON HEYDEN GMBH, Almaniya",147.23,170.79,29.11.2016
51,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,84,"PATEON FRANSA, Fransa",147.23,170.79,29.11.2016
52,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,98,"MENARİNİ VON HEYDEN GMBH, Almaniya",170.22,196.31,29.11.2016
53,ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,98,"PATEON FRANSA, Fransa",170.22,196.31,29.11.2016
54,ADİUPRESSİN,DESMOPRESSIN ACETATE TRIHYDRATE,"0,1 mq/ml",Burun üçün sprey,Flakon 6 ml,1,"ALFA VASSERMAN SPA, İtaliya",44.64,53.57,29.11.2016
55,ADOL NORMON,TRAMADOL HCL,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"LABORATORİOS NORMON SA, İspaniya",4.64,5.57,29.11.2016
56,ADOL NORMON,TRAMADOL HCL,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,100,"LABORATORİOS NORMON SA, İspaniya",87.32,103.42,29.11.2016
57,ADOLOR,KETOROLAC,15 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,3,"FARKO FARMASYUTİKALS, Misir",3.68,4.42,29.11.2016
58,ADONİS-BROM,ADONIS EXTRACT + POTASSIUM BROMIDE,"(69,07 + 250) mq",Tablet,Flakon,25,"BORİSOV DƏRMAN PREPARATLARI MÜƏSSİSƏSİ ASC, Belarus",0.86,1.03,29.11.2016
59,ADONİS-BROM,ADONIS EXTRACT + POTASSIUM BROMIDE,"(69,07 + 250) mq",Tablet,Flakon,30,"BORİSOV DƏRMAN PREPARATLARI MÜƏSSİSƏSİ ASC, Belarus",0.97,1.16,29.11.2016
60,ADRENALİN-DARNİTSA,EPINEPHRINE,"1,8 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,10,"DARNİTSA ƏCZAÇILIQ ŞİRKƏTİ ÖSC, Ukrayna",2.30,2.76,29.11.2016
